szolgáltatás azonosító,név,típus,kapcsolódó épület azonosítója,cost
1,Hulladékszállítás,Közmű,16,34.8
2,Útkarbantartás,Karbantartás,1;4;19;3;11,15.2
3,Postaszolgáltatás,Közmű,4;11;3,24.2
4,Tűzvédelem,Alapszolgáltatás,10;18,41.5
5,Postaszolgáltatás,Vészhelyzeti,14;9;15;16,10.1
6,Internet,Karbantartás,6;13;19;15,36.1
7,Tűzvédelem,Közmű,5;17;4;6;16,24.1
8,Internet,Alapszolgáltatás,1;13,30.2
9,Tűzvédelem,Alapszolgáltatás,4;6;19;5;13,39.9
10,Útkarbantartás,Alapszolgáltatás,7;14;2,15.4
11,Közvilágítás,Vészhelyzeti,3;1;2,38.0
12,Tűzvédelem,Alapszolgáltatás,10;8,11.5
13,Hulladékszállítás,Karbantartás,8;5,12.9
14,Gázszolgáltatás,Vészhelyzeti,7,13.9
15,Vízellátás,Vészhelyzeti,4,16.1
16,Közvilágítás,Karbantartás,9,34.7
17,Közvilágítás,Karbantartás,8;18;3,10.6
18,Vízellátás,Közmű,10;4;9;18,35.3
19,Hulladékszállítás,Közmű,14,36.5
20,Internet,Alapszolgáltatás,17;8;5;1;13,34.6
